month,gid,gcode,game_date_local,tip_local_time,tip_away_local_time,tip_et_time,arena,city,state,status_code,status_text,visitor_abbr,visitor_team,visitor_city,home_abbr,home_team,home_city,utc_date,utc_time,seq,broadcasters_tv,broadcasters_radio,broadcasters_ott,broadcasters_natltv
February,0022500772,20260210/LACHOU,2026-02-10,2026-02-10T19:00:00,2026-02-10T17:00:00,2026-02-10T20:00:00,Toyota Center,Houston,TX,1,8:00 pm ET,LAC,Clippers,LA,HOU,Rockets,Houston,2026-02-11,01:00,2,"FanDuel Sports Network - SoCal, NBA TV, Space City Home Network",790 AM / S: KLTN TUDN,,NBA TV
February,0022500773,20260210/DALPHX,2026-02-10,2026-02-10T19:00:00,2026-02-10T20:00:00,2026-02-10T21:00:00,Mortgage Matchup Center,Phoenix,AZ,1,9:00 pm ET,DAL,Mavericks,Dallas,PHX,Suns,Phoenix,2026-02-11,02:00,3,"Arizona's Family 3TV / Arizona's Family Sports, KFAA","97.1 FM / S: 99.1 FM, KMVP 98.7 / S: KSUN","MavsTV, Suns+",
February,0022500774,20260210/SASLAL,2026-02-10,2026-02-10T19:30:00,2026-02-10T21:30:00,2026-02-10T22:30:00,Crypto.com Arena,Los Angeles,CA,1,10:30 pm ET,SAS,Spurs,San Antonio,LAL,Lakers,Los Angeles,2026-02-11,03:30,4,"NBA TV, Spectrum SportsNet","ESPN LA 710/1330 KWKW, WOAI/KXTN",Spectrum SportsNet+,NBA TV
February,0022500775,20260211/ATLCHA,2026-02-11,2026-02-11T19:00:00,2026-02-11T19:00:00,2026-02-11T19:00:00,Spectrum Center,Charlotte,NC,1,7:00 pm ET,ATL,Hawks,Atlanta,CHA,Hornets,Charlotte,2026-02-12,00:00,1,"FanDuel Sports Network - Southeast - Atlanta, FanDuel Sports Network - Southeast - Charlotte","WFNZ 610 AM/102.5 FM, WZGC",,
February,0022500776,20260211/WASCLE,2026-02-11,2026-02-11T19:00:00,2026-02-11T19:00:00,2026-02-11T19:00:00,Rocket Arena,Cleveland,OH,1,7:00 pm ET,WAS,Wizards,Washington,CLE,Cavaliers,Cleveland,2026-02-12,00:00,2,"FanDuel Sports Network - Ohio, Monumental Sports Network",,,
February,0022500777,20260211/MILORL,2026-02-11,2026-02-11T19:00:00,2026-02-11T18:00:00,2026-02-11T19:00:00,Kia Center,Orlando,FL,1,7:00 pm ET,MIL,Bucks,Milwaukee,ORL,Magic,Orlando,2026-02-12,00:00,3,"FanDuel Sports Network - Florida, FanDuel Sports Network - Wisconsin",,,
February,0022500778,20260211/CHIBOS,2026-02-11,2026-02-11T19:30:00,2026-02-11T18:30:00,2026-02-11T19:30:00,TD Garden,Boston,MA,1,7:30 pm ET,CHI,Bulls,Chicago,BOS,Celtics,Boston,2026-02-12,00:30,4,"Chicago Sports Network, NBC SPORTS BOSTON",98.5 The Sports Hub,,
February,0022500779,20260211/INDBKN,2026-02-11,2026-02-11T19:30:00,2026-02-11T19:30:00,2026-02-11T19:30:00,Barclays Center,Brooklyn,NY,1,7:30 pm ET,IND,Pacers,Indiana,BKN,Nets,Brooklyn,2026-02-12,00:30,5,"FanDuel Sports Network - Indiana, YES",93.5/107.5 The Fan,,
February,0022500780,20260211/NYKPHI,2026-02-11,2026-02-11T19:30:00,2026-02-11T19:30:00,2026-02-11T19:30:00,Xfinity Mobile Arena,Philadelphia,PA,1,7:30 pm ET,NYK,Knicks,New York,PHI,76ers,Philadelphia,2026-02-12,00:30,6,"ESPN, MSG","880 ESPN New York, 97.5 The Fanatic",,ESPN
February,0022500781,20260211/DETTOR,2026-02-11,2026-02-11T19:30:00,2026-02-11T19:30:00,2026-02-11T19:30:00,Scotiabank Arena,Toronto,ON,1,7:30 pm ET,DET,Pistons,Detroit,TOR,Raptors,Toronto,2026-02-12,00:30,7,"FanDuel Sports Network - Detroit, TSN, TSN","97.1 FM The Ticket, TSN Radio 1050",,
February,0022500782,20260211/LACHOU,2026-02-11,2026-02-11T19:00:00,2026-02-11T17:00:00,2026-02-11T20:00:00,Toyota Center,Houston,TX,1,8:00 pm ET,LAC,Clippers,LA,HOU,Rockets,Houston,2026-02-12,01:00,8,"FanDuel Sports Network - SoCal, Space City Home Network",790 AM / S: KLTN TUDN,,
February,0022500783,20260211/PORMIN,2026-02-11,2026-02-11T19:00:00,2026-02-11T17:00:00,2026-02-11T20:00:00,Target Center,Minneapolis,MN,1,8:00 pm ET,POR,Trail Blazers,Portland,MIN,Timberwolves,Minnesota,2026-02-12,01:00,9,"FanDuel Sports Network - North, KUNP",Rip City Radio 620,BlazerVision,
February,0022500784,20260211/MIANOP,2026-02-11,2026-02-11T19:00:00,2026-02-11T20:00:00,2026-02-11T20:00:00,Smoothie King Center,New Orleans,LA,1,8:00 pm ET,MIA,Heat,Miami,NOP,Pelicans,New Orleans,2026-02-12,01:00,10,"FanDuel Sports Network - Sun, GCSEN / WVUE","FM 104.3 WQAM, 560 AM   / S: WAQI 710",Pelicans+,
February,0022500785,20260211/OKCPHX,2026-02-11,2026-02-11T19:00:00,2026-02-11T20:00:00,2026-02-11T21:00:00,Mortgage Matchup Center,Phoenix,AZ,1,9:00 pm ET,OKC,Thunder,Oklahoma City,PHX,Suns,Phoenix,2026-02-12,02:00,11,"Arizona's Family 3TV / Arizona's Family Sports, FanDuel Sports Network - Oklahoma","KMVP 98.7 / S: KSUN, WWLS 98.1FM OKC",Suns+,
February,0022500786,20260211/SACUTA,2026-02-11,2026-02-11T19:00:00,2026-02-11T18:00:00,2026-02-11T21:00:00,Delta Center,Salt Lake City,UT,1,9:00 pm ET,SAC,Kings,Sacramento,UTA,Jazz,Utah,2026-02-12,02:00,12,"KJZZ, NBCSCA","KZNS / KSL / S: KTUB, Sactown Sports 1140 AM",Jazz+,
